Datetime,Activity_Type,Heart rate,Calories burned,Exercise duration,Sleep duration,Sleep type duration,Floors climbed
9,Running,156,10,11474,0,0,0
9,Floors Climbed,66,0,0,0,0,1
10,Running,158,10,13112,0,0,0
10,Floors Climbed,68,0,0,0,0,1
11,Running,162,10,15970,0,0,0
11,Floors Climbed,71,0,0,0,0,1
13,Running,166,20,21118,0,0,0
14,No Physical Activity,78,0,0,0,0,0
14,No Physical Activity,71,0,0,0,0,0
16,Running,168,30,28122,0,0,0
17,No Physical Activity,74,0,0,0,0,0
18,No Physical Activity,81,0,0,0,0,0
19,Running,168,40,31165,0,0,0
20,Running,164,10,10752,0,0,0
20,Running,154,10,24986,0,0,0
21,Running,164,20,18912,0,0,0
21,Running,166,30,24888,0,0,0
21,Running,166,40,28708,0,0,0
21,No Physical Activity,79,0,0,0,0,0
22,Running,172,20,26027,0,0,0
22,Running,164,10,10128,0,0,0
0,Light Sleep,51,0,0,4,6,0
0,REM Sleep,51,0,0,2,3,0
1,Floors Climbed,60,0,0,0,0,1
1,Light Sleep,56,0,0,10,13,0
1,Light Sleep,53,0,0,7,9,0
1,REM Sleep,52,0,0,1,2,0
1,REM Sleep,54,0,0,0,1,0
1,Light Sleep,57,0,0,0,0,0
2,Floors Climbed,65,0,0,0,0,1
2,Light Sleep,61,0,0,0,0,0
3,Floors Climbed,70,0,0,0,0,1
4,Light Sleep,65,0,0,0,0,0
5,Floors Climbed,74,0,0,0,0,1
7,Light Sleep,77,0,0,27,31,0
8,Floors Climbed,70,0,0,0,0,1
9,Light Sleep,79,0,0,23,30,0
11,Light Sleep,80,0,0,18,28,0
12,Light Sleep,81,0,0,15,25,0
14,Light Sleep,81,0,0,12,20,0
14,Light Sleep,81,0,0,13,22,0
15,Light Sleep,82,0,0,10,18,0
16,Light Sleep,84,0,0,8,15,0
16,Light Sleep,83,0,0,9,16,0
17,Light Sleep,85,0,0,6,14,0
17,Light Sleep,84,0,0,7,14,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,6,13,0
1,Light Sleep,57,0,0,6,8,0
1,Light Sleep,56,0,0,3,5,0
1,REM Sleep,56,0,0,2,2,0
2,Light Sleep,59,0,0,7,13,0
2,Light Sleep,58,0,0,7,12,0
2,REM Sleep,59,0,0,0,0,0
3,Light Sleep,51,0,0,9,12,0
3,Light Sleep,59,0,0,6,12,0
3,Light Sleep,58,0,0,5,10,0
3,REM Sleep,57,0,0,4,8,0
3,Light Sleep,50,0,0,5,8,0
3,REM Sleep,56,0,0,3,6,0
3,Light Sleep,50,0,0,4,6,0
3,REM Sleep,52,0,0,2,4,0
4,Floors Climbed,53,0,0,0,0,1
4,Light Sleep,64,0,0,0,0,0
8,No Physical Activity,56,0,0,0,0,0
8,Light Sleep,65,0,0,1,1,0
9,Floors Climbed,68,0,0,0,0,1
16,No Physical Activity,57,0,0,0,0,0
18,Running,124,130,86585,0,0,0
21,No Physical Activity,60,0,0,0,0,0
21,Running,132,70,49094,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,Running,152,10,10960,0,0,0
22,No Physical Activity,67,0,0,0,0,0
22,Running,152,10,12825,0,0,0
22,Running,150,20,15315,0,0,0
22,Running,146,30,20091,0,0,0
22,Running,140,40,29655,0,0,0
12,Walking,93,150,118816,0,0,0
0,Running,110,119,44919,0,0,0
0,Running,111,111,44734,0,0,0
0,Running,110,100,37107,0,0,0
0,Running,110,133,51738,0,0,0
0,Running,110,148,51249,0,0,0
0,Running,110,140,48402,0,0,0
1,Running,118,130,83435,0,0,0
3,Running,120,120,84011,0,0,0
6,Running,122,130,102495,0,0,0
11,Floors Climbed,69,0,0,0,0,1
15,No Physical Activity,72,0,0,0,0,0
20,No Physical Activity,76,0,0,0,0,0
21,Running,156,20,34310,0,0,0
22,Running,172,20,35231,0,0,0
22,Running,168,20,19136,0,0,0
22,No Physical Activity,79,0,0,0,0,0
12,Floors Climbed,73,0,0,0,0,1
4,Light Sleep,68,0,0,9,17,0
4,Light Sleep,65,0,0,6,11,0
4,REM Sleep,62,0,0,3,7,0
4,REM Sleep,61,0,0,2,4,0
4,REM Sleep,63,0,0,1,2,0
4,REM Sleep,66,0,0,0,1,0
5,Light Sleep,72,0,0,11,22,0
6,Light Sleep,76,0,0,13,26,0
6,Light Sleep,69,0,0,0,0,0
8,Light Sleep,79,0,0,14,26,0
9,Light Sleep,81,0,0,13,25,0
10,Light Sleep,82,0,0,12,24,0
12,Light Sleep,83,0,0,11,22,0
12,Light Sleep,82,0,0,11,22,0
13,Light Sleep,83,0,0,11,21,0
14,Light Sleep,83,0,0,11,21,0
14,Light Sleep,83,0,0,11,21,0
15,Light Sleep,83,0,0,11,19,0
15,Light Sleep,83,0,0,11,20,0
16,Light Sleep,84,0,0,9,17,0
16,Light Sleep,84,0,0,10,18,0
17,Light Sleep,85,0,0,7,15,0
17,Light Sleep,85,0,0,8,16,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,6,14,0
11,Floors Climbed,69,0,0,0,0,1
13,No Physical Activity,70,0,0,0,0,0
17,No Physical Activity,76,0,0,0,0,0
20,Running,166,10,9511,0,0,0
21,Running,166,10,16919,0,0,0
22,Running,176,20,23547,0,0,0
22,Running,172,20,22266,0,0,0
22,Running,170,10,12923,0,0,0
14,Running,158,10,11140,0,0,0
0,Floors Climbed,56,0,0,0,0,1
0,Floors Climbed,54,0,0,0,0,1
0,Floors Climbed,52,0,0,0,0,1
0,Floors Climbed,51,0,0,0,0,1
0,Floors Climbed,50,0,0,0,0,1
0,Light Sleep,50,0,0,9,6,0
0,Floors Climbed,50,0,0,0,0,1
0,No Physical Activity,57,0,0,0,0,0
0,Light Sleep,50,0,0,7,4,0
0,Floors Climbed,50,0,0,0,0,1
0,Floors Climbed,52,0,0,0,0,1
0,Floors Climbed,51,0,0,0,0,1
1,Floors Climbed,62,0,0,0,0,1
1,Floors Climbed,59,0,0,0,0,1
1,No Physical Activity,60,0,0,0,0,0
2,Light Sleep,69,0,0,17,35,0
2,Light Sleep,65,0,0,17,29,0
2,Running,128,10,6872,0,0,0
3,Light Sleep,72,0,0,18,40,0
4,Light Sleep,74,0,0,18,44,0
4,Running,136,10,8168,0,0,0
5,Light Sleep,76,0,0,19,46,0
7,Light Sleep,76,0,0,19,46,0
8,Light Sleep,77,0,0,19,43,0
8,Running,148,10,10055,0,0,0
10,Light Sleep,77,0,0,18,39,0
12,Light Sleep,77,0,0,16,33,0
13,Light Sleep,77,0,0,14,28,0
15,Light Sleep,78,0,0,12,22,0
16,Light Sleep,79,0,0,9,18,0
17,Light Sleep,79,0,0,8,13,0
18,Light Sleep,80,0,0,5,10,0
18,Light Sleep,80,0,0,6,11,0
19,Light Sleep,79,0,0,5,10,0
19,Light Sleep,80,0,0,5,11,0
20,Light Sleep,78,0,0,5,9,0
11,Floors Climbed,69,0,0,0,0,1
15,No Physical Activity,72,0,0,0,0,0
19,Floors Climbed,75,0,0,0,0,1
21,Running,156,20,36498,0,0,0
22,Running,172,30,37348,0,0,0
22,Running,168,20,18871,0,0,0
22,No Physical Activity,79,0,0,0,0,0
11,Light Sleep,73,0,0,0,0,0
5,Light Sleep,69,0,0,7,15,0
5,Light Sleep,66,0,0,5,10,0
5,REM Sleep,64,0,0,3,6,0
5,REM Sleep,64,0,0,1,4,0
5,REM Sleep,66,0,0,1,2,0
6,Light Sleep,72,0,0,9,20,0
6,Light Sleep,69,0,0,0,1,0
7,Light Sleep,76,0,0,11,23,0
8,Light Sleep,78,0,0,12,25,0
9,Light Sleep,80,0,0,12,24,0
10,Light Sleep,82,0,0,11,23,0
11,Light Sleep,82,0,0,11,22,0
12,Light Sleep,83,0,0,11,22,0
13,Light Sleep,83,0,0,11,22,0
14,Light Sleep,84,0,0,11,21,0
14,Light Sleep,83,0,0,11,21,0
15,Light Sleep,84,0,0,11,20,0
15,Light Sleep,84,0,0,11,21,0
16,Light Sleep,84,0,0,9,17,0
16,Light Sleep,84,0,0,10,19,0
17,Light Sleep,85,0,0,7,15,0
17,Light Sleep,85,0,0,8,16,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,6,14,0
1,Light Sleep,59,0,0,10,17,0
1,Light Sleep,57,0,0,10,15,0
1,Light Sleep,56,0,0,7,10,0
1,Light Sleep,55,0,0,3,4,0
1,REM Sleep,56,0,0,1,1,0
2,Light Sleep,60,0,0,8,16,0
2,Light Sleep,62,0,0,0,0,0
3,Light Sleep,52,0,0,12,15,0
3,Light Sleep,59,0,0,7,15,0
3,Light Sleep,56,0,0,5,10,0
3,REM Sleep,57,0,0,3,8,0
3,REM Sleep,56,0,0,3,6,0
3,Light Sleep,50,0,0,5,7,0
3,REM Sleep,55,0,0,2,5,0
3,Light Sleep,50,0,0,4,6,0
3,REM Sleep,53,0,0,2,4,0
3,Light Sleep,50,0,0,4,6,0
3,REM Sleep,52,0,0,2,4,0
4,Floors Climbed,54,0,0,0,0,1
6,Light Sleep,64,0,0,1,1,0
8,Floors Climbed,67,0,0,0,0,1
9,No Physical Activity,56,0,0,0,0,0
16,No Physical Activity,57,0,0,0,0,0
16,Walking,92,140,103800,0,0,0
20,Running,126,90,60264,0,0,0
21,No Physical Activity,61,0,0,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,Running,150,10,10934,0,0,0
22,No Physical Activity,69,0,0,0,0,0
22,Running,152,10,11864,0,0,0
22,Running,152,10,12951,0,0,0
22,Running,148,20,15541,0,0,0
22,Running,144,30,21731,0,0,0
22,Running,136,50,34495,0,0,0
0,Running,110,115,44002,0,0,0
0,Running,111,115,46204,0,0,0
0,Running,111,113,43819,0,0,0
0,Running,111,124,47060,0,0,0
1,Running,118,140,85643,0,0,0
3,Running,120,120,82353,0,0,0
5,Running,120,120,94009,0,0,0
9,Running,122,140,116698,0,0,0
11,Running,138,10,12123,0,0,0
16,Running,146,10,20244,0,0,0
19,No Physical Activity,77,0,0,0,0,0
21,Running,158,40,59518,0,0,0
22,Running,166,30,43137,0,0,0
22,Running,154,10,12013,0,0,0
7,Light Sleep,73,0,0,6,15,0
7,REM Sleep,71,0,0,4,10,0
7,REM Sleep,69,0,0,2,6,0
7,REM Sleep,69,0,0,1,3,0
8,Light Sleep,78,0,0,10,24,0
8,Light Sleep,76,0,0,8,20,0
8,REM Sleep,71,0,0,0,1,0
9,Light Sleep,80,0,0,11,25,0
11,Light Sleep,82,0,0,11,25,0
11,Light Sleep,75,0,0,0,0,0
12,Light Sleep,83,0,0,11,25,0
13,Light Sleep,84,0,0,11,23,0
13,Light Sleep,84,0,0,11,24,0
14,Light Sleep,84,0,0,11,22,0
15,Light Sleep,84,0,0,11,21,0
15,Light Sleep,84,0,0,11,22,0
16,Light Sleep,84,0,0,10,18,0
16,Light Sleep,84,0,0,10,20,0
17,Light Sleep,85,0,0,7,15,0
17,Light Sleep,85,0,0,9,16,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,7,14,0
11,Running,138,10,11943,0,0,0
15,Running,146,10,21085,0,0,0
21,Running,156,40,61574,0,0,0
22,Running,166,30,44093,0,0,0
22,Running,154,10,11898,0,0,0
17,Floors Climbed,77,0,0,0,0,1
4,REM Sleep,68,0,0,1,3,0
5,Light Sleep,73,0,0,9,21,0
5,Light Sleep,71,0,0,5,13,0
5,REM Sleep,68,0,0,2,7,0
5,REM Sleep,71,0,0,0,1,0
6,Light Sleep,76,0,0,13,28,0
7,Light Sleep,79,0,0,16,33,0
8,Light Sleep,75,0,0,0,0,0
9,Light Sleep,81,0,0,17,33,0
11,Light Sleep,82,0,0,16,31,0
12,Light Sleep,83,0,0,14,29,0
14,Light Sleep,84,0,0,13,27,0
15,Light Sleep,84,0,0,12,22,0
15,Light Sleep,84,0,0,12,24,0
16,Light Sleep,84,0,0,10,19,0
16,Light Sleep,84,0,0,11,20,0
17,Light Sleep,85,0,0,7,15,0
17,Light Sleep,85,0,0,8,16,0
17,Light Sleep,84,0,0,9,17,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,6,14,0
1,Light Sleep,58,0,0,8,13,0
1,Light Sleep,57,0,0,7,11,0
1,Light Sleep,56,0,0,5,7,0
1,REM Sleep,55,0,0,2,3,0
1,REM Sleep,57,0,0,0,0,0
2,Light Sleep,59,0,0,7,14,0
3,Light Sleep,51,0,0,11,14,0
3,Light Sleep,58,0,0,5,11,0
3,Light Sleep,54,0,0,5,9,0
3,REM Sleep,57,0,0,3,7,0
3,Light Sleep,63,0,0,0,0,0
3,Light Sleep,50,0,0,5,7,0
3,REM Sleep,55,0,0,3,6,0
3,Light Sleep,50,0,0,4,6,0
3,REM Sleep,52,0,0,2,4,0
3,REM Sleep,52,0,0,2,4,0
4,Floors Climbed,54,0,0,0,0,1
7,Light Sleep,65,0,0,1,1,0
9,No Physical Activity,56,0,0,0,0,0
16,No Physical Activity,57,0,0,0,0,0
17,Walking,93,140,96140,0,0,0
21,No Physical Activity,60,0,0,0,0,0
21,Running,130,80,53840,0,0,0
22,No Physical Activity,72,0,0,0,0,0
22,Running,150,10,10050,0,0,0
22,No Physical Activity,68,0,0,0,0,0
22,Running,152,10,11506,0,0,0
22,Running,152,10,13112,0,0,0
22,Running,150,20,15737,0,0,0
22,Running,146,30,21181,0,0,0
22,Running,140,50,32073,0,0,0
10,Walking,93,150,121943,0,0,0
0,Running,110,120,45314,0,0,0
0,Running,112,111,45426,0,0,0
0,Running,111,113,43806,0,0,0
0,Running,110,122,45615,0,0,0
0,Running,110,138,47200,0,0,0
1,Running,118,140,86143,0,0,0
3,No Physical Activity,62,0,0,0,0,0
3,Running,120,120,84827,0,0,0
4,No Physical Activity,64,0,0,0,0,0
4,No Physical Activity,62,0,0,0,0,0
5,No Physical Activity,66,0,0,0,0,0
5,No Physical Activity,60,0,0,0,0,0
5,Running,120,10,9169,0,0,0
5,No Physical Activity,62,0,0,0,0,0
5,No Physical Activity,61,0,0,0,0,0
5,Running,122,130,100515,0,0,0
6,No Physical Activity,69,0,0,0,0,0
6,Running,142,10,8301,0,0,0
6,No Physical Activity,68,0,0,0,0,0
6,No Physical Activity,68,0,0,0,0,0
6,Light Sleep,66,0,0,8,6,0
6,Light Sleep,65,0,0,2,2,0
7,Running,146,10,9223,0,0,0
7,Running,144,10,8679,0,0,0
7,No Physical Activity,67,0,0,0,0,0
8,Running,150,10,9997,0,0,0
8,No Physical Activity,70,0,0,0,0,0
8,Floors Climbed,70,0,0,0,0,1
8,Light Sleep,69,0,0,8,5,0
8,Light Sleep,67,0,0,2,1,0
8,Light Sleep,66,0,0,2,1,0
9,Running,156,10,12431,0,0,0
9,Running,152,10,11047,0,0,0
9,No Physical Activity,68,0,0,0,0,0
9,Floors Climbed,68,0,0,0,0,1
9,Floors Climbed,66,0,0,0,0,1
10,Floors Climbed,73,0,0,0,0,1
10,Floors Climbed,68,0,0,0,0,1
10,No Physical Activity,72,0,0,0,0,0
10,Floors Climbed,68,0,0,0,0,1
10,Floors Climbed,67,0,0,0,0,1
10,Floors Climbed,68,0,0,0,0,1
11,Running,158,10,14348,0,0,0
11,Running,138,10,11294,0,0,0
11,No Physical Activity,68,0,0,0,0,0
12,No Physical Activity,72,0,0,0,0,0
12,Running,160,20,17089,0,0,0
12,Running,148,10,8123,0,0,0
13,No Physical Activity,70,0,0,0,0,0
14,No Physical Activity,75,0,0,0,0,0
14,Running,164,20,20761,0,0,0
14,No Physical Activity,72,0,0,0,0,0
15,No Physical Activity,72,0,0,0,0,0
16,Running,164,20,24279,0,0,0
16,Running,150,10,9777,0,0,0
16,Floors Climbed,77,0,0,0,0,1
16,No Physical Activity,71,0,0,0,0,0
17,No Physical Activity,72,0,0,0,0,0
18,No Physical Activity,82,0,0,0,0,0
18,No Physical Activity,74,0,0,0,0,0
18,Running,166,20,24481,0,0,0
19,No Physical Activity,84,0,0,0,0,0
19,Running,168,10,12283,0,0,0
19,Running,168,20,19716,0,0,0
19,No Physical Activity,71,0,0,0,0,0
19,No Physical Activity,77,0,0,0,0,0
20,No Physical Activity,74,0,0,0,0,0
20,No Physical Activity,73,0,0,0,0,0
20,Running,148,10,9036,0,0,0
21,Running,156,30,49967,0,0,0
21,No Physical Activity,74,0,0,0,0,0
21,Running,150,10,8063,0,0,0
21,No Physical Activity,72,0,0,0,0,0
22,Running,168,30,45529,0,0,0
22,No Physical Activity,75,0,0,0,0,0
22,Running,151,10,10617,0,0,0
22,No Physical Activity,74,0,0,0,0,0
22,Running,152,10,8460,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,Running,158,20,16839,0,0,0
3,Light Sleep,68,0,0,6,14,0
3,REM Sleep,65,0,0,3,7,0
3,REM Sleep,65,0,0,1,3,0
3,REM Sleep,67,0,0,0,1,0
4,Light Sleep,72,0,0,12,24,0
5,Light Sleep,75,0,0,17,32,0
5,Light Sleep,71,0,0,0,0,0
6,Light Sleep,79,0,0,20,35,0
8,Light Sleep,81,0,0,20,34,0
9,Floors Climbed,67,0,0,0,0,1
9,Floors Climbed,75,0,0,0,0,1
10,Light Sleep,82,0,0,18,32,0
12,Light Sleep,83,0,0,15,29,0
13,Light Sleep,84,0,0,14,26,0
15,Light Sleep,84,0,0,12,22,0
16,Light Sleep,84,0,0,10,18,0
16,Light Sleep,84,0,0,11,20,0
17,Light Sleep,85,0,0,7,15,0
17,Light Sleep,85,0,0,8,16,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,6,14,0
1,Light Sleep,54,0,0,9,8,0
1,Light Sleep,51,0,0,7,5,0
1,Light Sleep,50,0,0,6,4,0
1,Light Sleep,49,0,0,4,4,0
1,Floors Climbed,54,0,0,0,0,1
1,Floors Climbed,54,0,0,0,0,1
1,Floors Climbed,54,0,0,0,0,1
1,Floors Climbed,55,0,0,0,0,1
1,Floors Climbed,55,0,0,0,0,1
1,Floors Climbed,55,0,0,0,0,1
1,No Physical Activity,56,0,0,0,0,0
2,Light Sleep,63,0,0,13,16,0
2,Light Sleep,60,0,0,12,13,0
2,Light Sleep,58,0,0,11,11,0
2,Floors Climbed,53,0,0,0,0,1
2,Light Sleep,51,0,0,3,3,0
2,No Physical Activity,59,0,0,0,0,0
2,No Physical Activity,58,0,0,0,0,0
3,Light Sleep,69,0,0,15,23,0
3,Light Sleep,66,0,0,14,19,0
3,Floors Climbed,63,0,0,0,0,1
3,No Physical Activity,60,0,0,0,0,0
3,Light Sleep,60,0,0,4,5,0
3,Light Sleep,61,0,0,1,1,0
4,Light Sleep,71,0,0,16,28,0
4,No Physical Activity,62,0,0,0,0,0
4,No Physical Activity,61,0,0,0,0,0
4,No Physical Activity,62,0,0,0,0,0
4,No Physical Activity,61,0,0,0,0,0
5,Light Sleep,74,0,0,16,32,0
5,No Physical Activity,61,0,0,0,0,0
5,Running,120,10,9066,0,0,0
5,No Physical Activity,60,0,0,0,0,0
5,No Physical Activity,65,0,0,0,0,0
5,No Physical Activity,63,0,0,0,0,0
5,Light Sleep,64,0,0,1,1,0
6,Light Sleep,76,0,0,18,37,0
6,Light Sleep,75,0,0,17,35,0
6,No Physical Activity,64,0,0,0,0,0
6,No Physical Activity,67,0,0,0,0,0
7,Light Sleep,77,0,0,19,39,0
7,Floors Climbed,68,0,0,0,0,1
7,No Physical Activity,64,0,0,0,0,0
7,Running,144,10,8357,0,0,0
7,No Physical Activity,69,0,0,0,0,0
8,No Physical Activity,65,0,0,0,0,0
8,Light Sleep,65,0,0,1,1,0
9,Light Sleep,77,0,0,19,39,0
9,No Physical Activity,66,0,0,0,0,0
9,Running,150,10,9645,0,0,0
9,Floors Climbed,67,0,0,0,0,1
10,Light Sleep,77,0,0,19,38,0
10,Running,158,10,11162,0,0,0
10,No Physical Activity,68,0,0,0,0,0
11,Light Sleep,78,0,0,18,36,0
11,No Physical Activity,67,0,0,0,0,0
12,Light Sleep,78,0,0,17,32,0
13,Light Sleep,78,0,0,15,29,0
13,Running,166,10,13137,0,0,0
13,No Physical Activity,70,0,0,0,0,0
13,No Physical Activity,68,0,0,0,0,0
14,Light Sleep,78,0,0,14,25,0
14,No Physical Activity,69,0,0,0,0,0
15,Light Sleep,78,0,0,12,22,0
16,Light Sleep,79,0,0,11,19,0
16,Running,172,20,15562,0,0,0
16,No Physical Activity,72,0,0,0,0,0
17,Light Sleep,80,0,0,8,15,0
17,Light Sleep,80,0,0,9,17,0
18,Light Sleep,81,0,0,7,13,0
19,Light Sleep,80,0,0,5,9,0
19,Light Sleep,81,0,0,6,10,0
19,Running,172,20,16618,0,0,0
19,No Physical Activity,69,0,0,0,0,0
19,No Physical Activity,68,0,0,0,0,0
20,Light Sleep,78,0,0,5,9,0
20,No Physical Activity,79,0,0,0,0,0
21,No Physical Activity,84,0,0,0,0,0
21,Running,172,20,18031,0,0,0
21,No Physical Activity,72,0,0,0,0,0
21,No Physical Activity,69,0,0,0,0,0
22,Running,172,15,15836,0,0,0
22,No Physical Activity,74,0,0,0,0,0
22,No Physical Activity,74,0,0,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,No Physical Activity,71,0,0,0,0,0
3,No Physical Activity,62,0,0,0,0,0
3,Floors Climbed,62,0,0,0,0,1
3,Light Sleep,59,0,0,5,5,0
3,REM Sleep,60,0,0,1,2,0
4,No Physical Activity,62,0,0,0,0,0
4,No Physical Activity,61,0,0,0,0,0
4,Light Sleep,63,0,0,0,1,0
5,No Physical Activity,62,0,0,0,0,0
5,Running,120,10,9076,0,0,0
5,No Physical Activity,60,0,0,0,0,0
6,Floors Climbed,67,0,0,0,0,1
6,No Physical Activity,64,0,0,0,0,0
7,Light Sleep,65,0,0,1,1,0
8,No Physical Activity,65,0,0,0,0,0
8,Floors Climbed,67,0,0,0,0,1
9,No Physical Activity,66,0,0,0,0,0
10,No Physical Activity,67,0,0,0,0,0
12,Running,138,10,15535,0,0,0
12,No Physical Activity,68,0,0,0,0,0
13,No Physical Activity,68,0,0,0,0,0
15,No Physical Activity,69,0,0,0,0,0
17,Running,148,10,31892,0,0,0
19,No Physical Activity,68,0,0,0,0,0
19,No Physical Activity,68,0,0,0,0,0
21,No Physical Activity,72,0,0,0,0,0
21,No Physical Activity,69,0,0,0,0,0
22,Running,158,50,76589,0,0,0
22,No Physical Activity,75,0,0,0,0,0
22,No Physical Activity,74,0,0,0,0,0
22,No Physical Activity,73,0,0,0,0,0
22,Running,160,30,36093,0,0,0
22,No Physical Activity,72,0,0,0,0,0
22,Running,152,10,7067,0,0,0
16,Floors Climbed,77,0,0,0,0,1
7,Light Sleep,73,0,0,6,16,0
7,REM Sleep,71,0,0,4,9,0
7,REM Sleep,70,0,0,2,5,0
7,REM Sleep,71,0,0,1,2,0
8,Light Sleep,76,0,0,9,21,0
9,Light Sleep,78,0,0,10,24,0
9,Light Sleep,75,0,0,0,0,0
10,Light Sleep,80,0,0,11,26,0
11,Light Sleep,81,0,0,11,26,0
12,Light Sleep,83,0,0,11,25,0
13,Light Sleep,83,0,0,11,24,0
14,Light Sleep,84,0,0,11,24,0
15,Light Sleep,84,0,0,11,22,0
15,Light Sleep,84,0,0,11,23,0
16,Light Sleep,84,0,0,10,20,0
16,Light Sleep,84,0,0,11,21,0
17,Light Sleep,85,0,0,8,15,0
17,Light Sleep,84,0,0,10,17,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,85,0,0,7,14,0
10,Floors Climbed,68,0,0,0,0,1
14,No Physical Activity,71,0,0,0,0,0
20,Running,156,10,9192,0,0,0
21,Running,156,20,39821,0,0,0
22,Running,170,40,53001,0,0,0
22,Running,160,30,28690,0,0,0
11,No Physical Activity,75,0,0,0,0,0
0,Light Sleep,56,0,0,6,12,0
0,REM Sleep,55,0,0,3,6,0
0,REM Sleep,55,0,0,1,2,0
0,REM Sleep,57,0,0,0,1,0
0,Light Sleep,60,0,0,0,0,0
1,Floors Climbed,64,0,0,0,0,1
1,Light Sleep,59,0,0,13,21,0
1,Light Sleep,64,0,0,0,0,0
3,Floors Climbed,70,0,0,0,0,1
4,Floors Climbed,69,0,0,0,0,1
5,Floors Climbed,74,0,0,0,0,1
8,Floors Climbed,77,0,0,0,0,1
11,Light Sleep,80,0,0,24,29,0
13,Light Sleep,81,0,0,16,25,0
15,Light Sleep,81,0,0,12,21,0
16,Light Sleep,82,0,0,8,15,0
17,Light Sleep,84,0,0,6,13,0
17,Light Sleep,83,0,0,6,13,0
17,Light Sleep,82,0,0,7,13,0
18,REM Sleep,85,0,0,6,14,0
18,Light Sleep,84,0,0,6,13,0
7,Light Sleep,65,0,0,1,1,0
1,Light Sleep,58,0,0,9,15,0
1,Light Sleep,57,0,0,8,13,0
1,Light Sleep,56,0,0,6,8,0
1,Light Sleep,55,0,0,3,3,0
1,REM Sleep,57,0,0,1,1,0
2,Light Sleep,59,0,0,8,16,0
2,REM Sleep,62,0,0,0,0,0
3,Light Sleep,52,0,0,8,11,0
3,Light Sleep,58,0,0,5,10,0
3,Light Sleep,51,0,0,6,9,0
3,Light Sleep,51,0,0,5,8,0
3,REM Sleep,55,0,0,3,6,0
3,Light Sleep,50,0,0,5,7,0
3,REM Sleep,55,0,0,3,5,0
3,Light Sleep,50,0,0,4,7,0
3,REM Sleep,54,0,0,2,5,0
3,Light Sleep,50,0,0,4,6,0
3,REM Sleep,52,0,0,3,4,0
